# Arquivo de Feriados Nacionais
# Formato: DD/MM, Nome do Feriado
# Um feriado por linha

01/01, Ano Novo
21/04, Tiradentes
01/05, Dia do Trabalho
30/05, Corpus Christi
07/09, Independência do Brasil
12/10, Nossa Senhora Aparecida
02/11, Finados
15/11, Proclamação da República
25/12, Natal

09/03, Aniversario Joinville
05/01, Dia Mensal das Lamentações
05/02, Dia Mensal das Lamentações
05/03, Dia Mensal das Lamentações
05/04, Dia Mensal das Lamentações
05/05, Dia Mensal das Lamentações
05/06, Dia Mensal das Lamentações
05/07, Dia Mensal das Lamentações
05/08, Dia Mensal das Lamentações
05/09, Dia Mensal das Lamentações
05/10, Dia Mensal das Lamentações
05/11, Dia Mensal das Lamentações
05/12, Dia Mensal das Lamentações
